Series,Observation Date,Observation Value,Unit,Observation Status,Observation Status Comment
Sales of Tractors,31-Oct-19,2861,Number,Normal,
Sales of Tractors,30-Sep-19,3761,Number,Normal,
Sales of Tractors,31-Aug-19,2545,Number,Normal,
Sales of Tractors,31-Jul-19,3089,Number,Normal,
Sales of Tractors,30-Jun-19,3634,Number,Normal,
Sales of Tractors,31-May-19,3599,Number,Normal,
Sales of Tractors,30-Apr-19,5430,Number,Normal,
Sales of Tractors,31-Mar-19,5729,Number,Normal,
Sales of Tractors,28-Feb-19,4044,Number,Normal,
Sales of Tractors,31-Jan-19,3486,Number,Normal,
Sales of Tractors,31-Dec-18,654,Number,Normal,
Sales of Tractors,30-Nov-18,3750,Number,Normal,
Sales of Tractors,31-Oct-18,6348,Number,Normal,
Sales of Tractors,30-Sep-18,5818,Number,Normal,
Sales of Tractors,31-Aug-18,4041,Number,Normal,
Sales of Tractors,31-Jul-18,3872,Number,Normal,
Sales of Tractors,30-Jun-18,3895,Number,Normal,
Sales of Tractors,31-May-18,6753,Number,Normal,
Sales of Tractors,30-Apr-18,7979,Number,Normal,
Sales of Tractors,31-Mar-18,7633,Number,Normal,
Sales of Tractors,28-Feb-18,6454,Number,Normal,
Sales of Tractors,31-Jan-18,5863,Number,Normal,
Sales of Tractors,31-Dec-17,4976,Number,Normal,
Sales of Tractors,30-Nov-17,5577,Number,Normal,
Sales of Tractors,31-Oct-17,6047,Number,Normal,
Sales of Tractors,30-Sep-17,5953,Number,Normal,
Sales of Tractors,31-Aug-17,5138,Number,Normal,
Sales of Tractors,31-Jul-17,4619,Number,Normal,
Sales of Tractors,30-Jun-17,4446,Number,Normal,
Sales of Tractors,31-May-17,5663,Number,Normal,
Sales of Tractors,30-Apr-17,6263,Number,Normal,
Sales of Tractors,31-Mar-17,6650,Number,Normal,
Sales of Tractors,28-Feb-17,5647,Number,Normal,
Sales of Tractors,31-Jan-17,5390,Number,Normal,
Sales of Tractors,31-Dec-16,3201,Number,Normal,
Sales of Tractors,30-Nov-16,5145,Number,Normal,
Sales of Tractors,31-Oct-16,4729,Number,Normal,
Sales of Tractors,30-Sep-16,3412,Number,Normal,
Sales of Tractors,31-Aug-16,2391,Number,Normal,
Sales of Tractors,31-Jul-16,2055,Number,Normal,
Sales of Tractors,30-Jun-16,4011,Number,Normal,
Sales of Tractors,31-May-16,4021,Number,Normal,
Sales of Tractors,30-Apr-16,4417,Number,Normal,
Sales of Tractors,31-Mar-16,4397,Number,Normal,
Sales of Tractors,29-Feb-16,3045,Number,Normal,
Sales of Tractors,31-Jan-16,2352,Number,Normal,
Sales of Tractors,31-Dec-15,957,Number,Normal,
Sales of Tractors,30-Nov-15,2270,Number,Normal,
Sales of Tractors,31-Oct-15,2403,Number,Normal,
Sales of Tractors,30-Sep-15,3096,Number,Normal,
Sales of Tractors,31-Aug-15,2015,Number,Normal,
Sales of Tractors,31-Jul-15,1634,Number,Normal,
Sales of Tractors,30-Jun-15,4016,Number,Normal,
Sales of Tractors,31-May-15,4428,Number,Normal,
Sales of Tractors,30-Apr-15,5175,Number,Normal,
Sales of Tractors,31-Mar-15,4769,Number,Normal,
Sales of Tractors,28-Feb-15,4015,Number,Normal,
Sales of Tractors,31-Jan-15,3540,Number,Normal,
Sales of Tractors,31-Dec-14,2400,Number,Normal,
Sales of Tractors,30-Nov-14,4901,Number,Normal,
Sales of Tractors,31-Oct-14,4193,Number,Normal,
Sales of Tractors,30-Sep-14,3623,Number,Normal,
Sales of Tractors,31-Aug-14,2973,Number,Normal,
Sales of Tractors,31-Jul-14,2767,Number,Normal,
Sales of Tractors,30-Jun-14,1588,Number,Normal,
Sales of Tractors,31-May-14,3117,Number,Normal,
Sales of Tractors,30-Apr-14,4460,Number,Normal,
Sales of Tractors,31-Mar-14,2998,Number,Normal,
Sales of Tractors,28-Feb-14,1605,Number,Normal,
Sales of Tractors,31-Jan-14,504,Number,Normal,
Sales of Tractors,31-Dec-13,5770,Number,Normal,
Sales of Tractors,30-Nov-13,4319,Number,Normal,
Sales of Tractors,31-Oct-13,3292,Number,Normal,
Sales of Tractors,30-Sep-13,1755,Number,Normal,
Sales of Tractors,31-Aug-13,1938,Number,Normal,
Sales of Tractors,31-Jul-13,1302,Number,Normal,
Sales of Tractors,30-Jun-13,6237,Number,Normal,
Sales of Tractors,31-May-13,4401,Number,Normal,
Sales of Tractors,30-Apr-13,4676,Number,Normal,
Sales of Tractors,31-Mar-13,3881,Number,Normal,
Sales of Tractors,28-Feb-13,2364,Number,Normal,
Sales of Tractors,31-Jan-13,1612,Number,Normal,
Sales of Tractors,31-Dec-12,7571,Number,Normal,
Sales of Tractors,30-Nov-12,5868,Number,Normal,
Sales of Tractors,31-Oct-12,5712,Number,Normal,
Sales of Tractors,30-Sep-12,2588,Number,Normal,
Sales of Tractors,31-Aug-12,2855,Number,Normal,
Sales of Tractors,31-Jul-12,2828,Number,Normal,
Sales of Tractors,30-Jun-12,8368,Number,Normal,
Sales of Tractors,31-May-12,6913,Number,Normal,
Sales of Tractors,30-Apr-12,6295,Number,Normal,
Sales of Tractors,31-Mar-12,6229,Number,Normal,
Sales of Tractors,29-Feb-12,8906,Number,Normal,
Sales of Tractors,31-Jan-12,369,Number,Normal,
Sales of Tractors,31-Dec-11,771,Number,Normal,
Sales of Tractors,30-Nov-11,3625,Number,Normal,
Sales of Tractors,31-Oct-11,4054,Number,Normal,
Sales of Tractors,30-Sep-11,2222,Number,Normal,
Sales of Tractors,31-Aug-11,957,Number,Normal,
Sales of Tractors,31-Jul-11,1036,Number,Normal,
Sales of Tractors,30-Jun-11,6952,Number,Normal,
Sales of Tractors,31-May-11,6243,Number,Normal,
Sales of Tractors,30-Apr-11,5452,Number,Normal,
Sales of Tractors,31-Mar-11,5032,Number,Normal,
Sales of Tractors,28-Feb-11,7103,Number,Normal,
Sales of Tractors,31-Jan-11,5673,Number,Normal,
Sales of Tractors,31-Dec-10,8047,Number,Normal,
Sales of Tractors,30-Nov-10,4727,Number,Normal,
Sales of Tractors,31-Oct-10,6038,Number,Normal,
Sales of Tractors,30-Sep-10,4826,Number,Normal,
Sales of Tractors,31-Aug-10,3637,Number,Normal,
Sales of Tractors,31-Jul-10,5468,Number,Normal,
Sales of Tractors,30-Jun-10,7135,Number,Normal,
Sales of Tractors,31-May-10,6628,Number,Normal,
Sales of Tractors,30-Apr-10,6277,Number,Normal,
Sales of Tractors,31-Mar-10,5949,Number,Normal,
Sales of Tractors,28-Feb-10,5912,Number,Normal,
Sales of Tractors,31-Jan-10,6002,Number,Normal,
Sales of Tractors,31-Dec-09,6793,Number,Normal,
Sales of Tractors,30-Nov-09,7947,Number,Normal,
Sales of Tractors,31-Oct-09,6179,Number,Normal,
Sales of Tractors,30-Sep-09,3921,Number,Normal,
Sales of Tractors,31-Aug-09,4736,Number,Normal,
Sales of Tractors,31-Jul-09,4033,Number,Normal,
Sales of Tractors,30-Jun-09,6784,Number,Normal,
Sales of Tractors,31-May-09,5901,Number,Normal,
Sales of Tractors,30-Apr-09,6531,Number,Normal,
Sales of Tractors,31-Mar-09,6294,Number,Normal,
Sales of Tractors,28-Feb-09,3844,Number,Normal,
Sales of Tractors,31-Jan-09,4697,Number,Normal,
Sales of Tractors,31-Dec-08,6051,Number,Normal,
Sales of Tractors,30-Nov-08,4603,Number,Normal,
Sales of Tractors,31-Oct-08,3343,Number,Normal,
Sales of Tractors,30-Sep-08,4171,Number,Normal,
Sales of Tractors,31-Aug-08,4607,Number,Normal,
Sales of Tractors,31-Jul-08,3525,Number,Normal,
Sales of Tractors,30-Jun-08,6399,Number,Normal,
Sales of Tractors,31-May-08,4747,Number,Normal,
Sales of Tractors,30-Apr-08,4961,Number,Normal,
Sales of Tractors,31-Mar-08,4006,Number,Normal,
Sales of Tractors,29-Feb-08,3881,Number,Normal,
Sales of Tractors,31-Jan-08,4279,Number,Normal,
Sales of Tractors,31-Dec-07,4665,Number,Normal,
Sales of Tractors,30-Nov-07,4624,Number,Normal,
Sales of Tractors,31-Oct-07,4178,Number,Normal,
Sales of Tractors,30-Sep-07,4075,Number,Normal,
Sales of Tractors,31-Aug-07,3931,Number,Normal,
Sales of Tractors,31-Jul-07,3457,Number,Normal,
Sales of Tractors,30-Jun-07,5345,Number,Normal,
Sales of Tractors,31-May-07,5342,Number,Normal,
Sales of Tractors,30-Apr-07,4583,Number,Normal,
Sales of Tractors,31-Mar-07,4744,Number,Normal,
Sales of Tractors,28-Feb-07,5363,Number,Normal,
Sales of Tractors,31-Jan-07,4015,Number,Normal,
Sales of Tractors,31-Dec-06,4993,Number,Normal,
Sales of Tractors,30-Nov-06,4689,Number,Normal,
Sales of Tractors,31-Oct-06,3171,Number,Normal,
Sales of Tractors,30-Sep-06,3833,Number,Normal,
Sales of Tractors,31-Aug-06,4119,Number,Normal,
Sales of Tractors,31-Jul-06,3855,Number,Normal,
Sales of Tractors,30-Jun-06,5444,Number,Normal,
Sales of Tractors,31-May-06,4155,Number,Normal,
Sales of Tractors,30-Apr-06,2898,Number,Normal,
Sales of Tractors,31-Mar-06,4634,Number,Normal,
Sales of Tractors,28-Feb-06,3643,Number,Normal,
Sales of Tractors,31-Jan-06,4209,Number,Normal,
Sales of Tractors,31-Dec-05,5199,Number,Normal,
Sales of Tractors,30-Nov-05,3604,Number,Normal,
Sales of Tractors,31-Oct-05,3821,Number,Normal,
Sales of Tractors,30-Sep-05,4480,Number,Normal,
Sales of Tractors,31-Aug-05,3960,Number,Normal,
Sales of Tractors,31-Jul-05,2755,Number,Normal,
Sales of Tractors,30-Jun-05,4440,Number,Normal,
Sales of Tractors,31-May-05,4728,Number,Normal,
Sales of Tractors,30-Apr-05,4698,Number,Normal,
Sales of Tractors,31-Mar-05,4168,Number,Normal,
Sales of Tractors,28-Feb-05,2483,Number,Normal,
Sales of Tractors,31-Jan-05,2396,Number,Normal,
Sales of Tractors,31-Dec-04,4920,Number,Normal,
Sales of Tractors,30-Nov-04,3100,Number,Normal,
Sales of Tractors,31-Oct-04,3363,Number,Normal,
Sales of Tractors,30-Sep-04,3467,Number,Normal,
Sales of Tractors,31-Aug-04,2994,Number,Normal,
Sales of Tractors,31-Jul-04,2821,Number,Normal,
Sales of Tractors,30-Jun-04,3960,Number,Normal,
Sales of Tractors,31-May-04,3597,Number,Normal,
Sales of Tractors,30-Apr-04,3141,Number,Normal,
Sales of Tractors,31-Mar-04,2782,Number,Normal,
Sales of Tractors,29-Feb-04,2431,Number,Normal,
Sales of Tractors,31-Jan-04,3724,Number,Normal,
Sales of Tractors,31-Dec-03,4246,Number,Normal,
Sales of Tractors,30-Nov-03,2350,Number,Normal,
Sales of Tractors,31-Oct-03,3115,Number,Normal,
Sales of Tractors,30-Sep-03,2778,Number,Normal,
Sales of Tractors,31-Aug-03,2024,Number,Normal,
Sales of Tractors,31-Jul-03,1752,Number,Normal,
Sales of Tractors,30-Jun-03,2732,Number,Normal,
Sales of Tractors,31-May-03,3209,Number,Normal,
Sales of Tractors,30-Apr-03,3407,Number,Normal,
Sales of Tractors,31-Mar-03,3224,Number,Normal,
Sales of Tractors,28-Feb-03,1984,Number,Normal,
Sales of Tractors,31-Jan-03,1905,Number,Normal,
Sales of Tractors,31-Dec-02,2320,Number,Normal,
Sales of Tractors,30-Nov-02,2387,Number,Normal,
Sales of Tractors,31-Oct-02,1281,Number,Normal,
Sales of Tractors,30-Sep-02,1574,Number,Normal,
Sales of Tractors,31-Aug-02,1128,Number,Normal,
Sales of Tractors,31-Jul-02,1681,Number,Normal,
Sales of Tractors,30-Jun-02,3625,Number,Normal,
Sales of Tractors,31-May-02,2549,Number,Normal,
Sales of Tractors,30-Apr-02,3034,Number,Normal,
Sales of Tractors,31-Mar-02,2464,Number,Normal,
Sales of Tractors,28-Feb-02,1525,Number,Normal,
Sales of Tractors,31-Jan-02,1501,Number,Normal,
Sales of Tractors,31-Dec-01,1528,Number,Normal,
Sales of Tractors,30-Nov-01,2111,Number,Normal,
Sales of Tractors,31-Oct-01,1461,Number,Normal,
Sales of Tractors,30-Sep-01,1414,Number,Normal,
Sales of Tractors,31-Aug-01,1498,Number,Normal,
Sales of Tractors,31-Jul-01,1291,Number,Normal,
Sales of Tractors,30-Jun-01,3765,Number,Normal,
Sales of Tractors,31-May-01,3214,Number,Normal,
Sales of Tractors,30-Apr-01,3701,Number,Normal,
Sales of Tractors,31-Mar-01,1800,Number,Normal,
Sales of Tractors,28-Feb-01,2667,Number,Normal,
Sales of Tractors,31-Jan-01,2725,Number,Normal,
